"Attrition","Age","JobRole","Department","JobSatisfaction","WorkLifeBalance","YearsAtCompany","OverTime","Education","EnvironmentSatisfaction","JobInvolvement","RelationshipSatisfaction","Gender","YearsInCurrentRole","JobLevel","TotalWorkingYears","EducationField","EmployeeNumber","PerformanceRating"
"Yes",32,"Laboratory Technician","Research & Development",3,1,3,"Yes",3,4,2,4,"Male",2,1,4,"Life Sciences",331,3
"No",39,"Laboratory Technician","Research & Development",3,3,3,"No",4,3,3,3,"Female",2,1,7,"Medical",332,3
"No",32,"Sales Executive","Sales",4,3,3,"No",4,3,3,1,"Male",2,2,4,"Marketing",333,3
"No",41,"Research Scientist","Research & Development",1,2,1,"No",2,3,3,1,"Male",0,2,17,"Life Sciences",334,3
"No",40,"Research Scientist","Research & Development",4,3,9,"No",2,1,3,1,"Male",8,2,9,"Technical Degree",335,3
"No",45,"Manager","Research & Development",4,3,24,"No",3,3,4,3,"Male",0,5,25,"Other",336,3
"No",31,"Research Director","Research & Development",3,3,2,"No",4,2,3,1,"Male",2,3,9,"Medical",337,3
"No",33,"Research Scientist","Research & Development",4,2,2,"No",4,3,2,3,"Female",2,1,2,"Life Sciences",338,3
"No",34,"Manufacturing Director","Research & Development",1,3,11,"No",4,4,2,2,"Male",9,2,13,"Life Sciences",339,3
"No",37,"Research Scientist","Research & Development",1,2,3,"No",2,3,2,1,"Female",1,1,17,"Medical",340,3
"No",45,"Manufacturing Director","Research & Development",3,3,3,"No",4,1,4,4,"Male",2,2,9,"Life Sciences",341,3
"Yes",37,"Manufacturing Director","Research & Development",3,3,1,"No",3,1,3,2,"Male",0,3,17,"Medical",342,3
"No",39,"Healthcare Representative","Research & Development",3,3,19,"No",4,3,3,4,"Female",6,3,20,"Technical Degree",343,4
"No",29,"Research Scientist","Research & Development",4,3,6,"No",3,3,3,1,"Male",5,1,6,"Life Sciences",346,3
"No",42,"Research Scientist","Research & Development",1,3,3,"Yes",2,4,4,3,"Female",2,2,10,"Life Sciences",347,3
"No",29,"Sales Executive","Sales",4,3,3,"No",2,4,3,4,"Male",2,2,10,"Marketing",349,3
"No",25,"Manufacturing Director","Research & Development",3,3,4,"No",3,1,3,4,"Female",2,2,5,"Life Sciences",350,3
"No",42,"Laboratory Technician","Research & Development",1,3,9,"Yes",3,4,2,3,"Female",6,1,10,"Medical",351,3
"No",40,"Research Director","Research & Development",3,3,21,"No",2,1,3,4,"Male",7,5,22,"Medical",352,3
"No",51,"Research Scientist","Research & Development",4,2,1,"No",3,3,3,2,"Male",0,1,1,"Life Sciences",353,3
"Yes",31,"Laboratory Technician","Research & Development",2,4,5,"No",2,3,2,2,"Male",4,1,6,"Medical",355,3
"No",32,"Laboratory Technician","Research & Development",2,1,5,"No",3,2,4,3,"Male",1,1,5,"Life Sciences",359,4
"No",38,"Sales Executive","Sales",4,3,8,"No",2,4,2,4,"Male",7,2,13,"Life Sciences",361,3
"No",32,"Laboratory Technician","Research & Development",1,3,6,"No",1,4,2,4,"Male",2,2,9,"Technical Degree",362,3
"No",46,"Manager","Sales",2,2,7,"Yes",3,3,1,2,"Female",7,4,28,"Technical Degree",363,3
"Yes",28,"Laboratory Technician","Research & Development",3,1,0,"No",4,1,3,3,"Male",0,1,5,"Life Sciences",364,3
"No",29,"Sales Executive","Sales",2,3,0,"No",3,1,2,2,"Male",0,2,10,"Medical",366,3
"No",31,"Healthcare Representative","Research & Development",4,3,9,"No",3,2,2,2,"Male",0,2,10,"Medical",367,4
"No",25,"Healthcare Representative","Research & Development",1,3,6,"No",2,2,4,4,"Male",3,2,6,"Life Sciences",369,3
"No",45,"Healthcare Representative","Research & Development",4,3,20,"Yes",2,3,3,2,"Male",7,4,21,"Medical",372,3
"No",36,"Laboratory Technician","Research & Development",4,3,15,"No",3,4,3,3,"Male",13,1,16,"Life Sciences",373,3
"No",55,"Manager","Research & Development",1,3,36,"Yes",3,4,3,3,"Male",10,5,37,"Medical",374,3
"Yes",47,"Manager","Research & Development",2,2,10,"Yes",4,1,3,4,"Male",7,3,10,"Life Sciences",376,3
"No",28,"Research Scientist","Research & Development",4,2,5,"No",3,4,3,4,"Male",2,1,5,"Medical",377,4
"No",37,"Sales Executive","Sales",4,4,5,"No",4,3,3,2,"Male",4,2,7,"Medical",378,3
"No",21,"Research Scientist","Research & Development",3,4,3,"No",2,4,2,1,"Male",2,1,3,"Medical",379,3
"No",37,"Research Director","Research & Development",4,3,5,"Yes",4,1,3,1,"Female",2,3,15,"Medical",380,3
"No",35,"Manager","Research & Development",2,2,7,"No",3,2,4,2,"Female",7,3,10,"Life Sciences",381,3
"No",38,"Sales Executive","Sales",1,3,8,"Yes",2,1,4,3,"Female",0,2,8,"Medical",382,4
"No",26,"Manufacturing Director","Research & Development",2,1,6,"No",3,3,3,1,"Female",5,2,6,"Life Sciences",384,4
"No",50,"Research Director","Research & Development",2,2,10,"No",1,1,3,1,"Male",4,5,28,"Life Sciences",385,3
"No",53,"Research Director","Research & Development",3,2,5,"Yes",4,3,3,4,"Male",3,4,21,"Medical",386,3
"No",42,"Sales Executive","Sales",3,3,20,"No",1,2,3,3,"Male",16,2,20,"Life Sciences",387,4
"No",29,"Sales Executive","Sales",4,2,10,"No",2,2,3,1,"Male",7,2,10,"Life Sciences",388,3
"No",55,"Laboratory Technician","Research & Development",4,3,10,"Yes",2,2,3,4,"Male",7,2,12,"Technical Degree",389,3
"No",26,"Healthcare Representative","Research & Development",1,3,5,"Yes",2,1,3,3,"Male",3,2,5,"Medical",390,3
"No",37,"Research Scientist","Research & Development",4,3,17,"No",3,4,3,2,"Female",12,1,17,"Life Sciences",391,3
"Yes",44,"Laboratory Technician","Research & Development",3,1,1,"Yes",3,4,3,4,"Male",0,1,19,"Life Sciences",392,4
"No",38,"Healthcare Representative","Research & Development",4,3,2,"No",4,4,3,2,"Male",2,2,10,"Life Sciences",393,3
"Yes",26,"Laboratory Technician","Research & Development",2,3,3,"Yes",4,1,3,4,"Male",2,1,5,"Medical",394,3
"No",28,"Research Scientist","Research & Development",4,3,5,"No",2,4,3,4,"Female",3,1,5,"Life Sciences",395,4
"No",49,"Research Director","Research & Development",1,3,3,"Yes",4,3,3,4,"Female",2,5,22,"Life Sciences",396,3
"No",36,"Research Scientist","Research & Development",2,3,8,"No",3,3,3,4,"Male",0,2,10,"Technical Degree",397,3
"No",31,"Sales Representative","Sales",2,2,2,"No",3,4,3,3,"Female",2,1,2,"Marketing",399,3
"Yes",26,"Sales Executive","Sales",4,3,8,"Yes",4,4,2,2,"Male",7,2,8,"Marketing",401,3
"No",37,"Research Scientist","Research & Development",4,2,4,"Yes",3,2,3,3,"Male",2,1,4,"Medical",403,3
"No",42,"Sales Executive","Sales",2,4,20,"No",3,3,3,4,"Female",4,4,23,"Marketing",404,3
"Yes",18,"Laboratory Technician","Research & Development",3,3,0,"No",3,3,3,3,"Male",0,1,0,"Life Sciences",405,3
"No",35,"Sales Executive","Sales",2,2,11,"No",3,3,3,3,"Male",9,3,12,"Marketing",406,3
"No",36,"Laboratory Technician","Research & Development",4,3,1,"No",4,3,4,4,"Male",0,1,4,"Life Sciences",407,3
"No",51,"Manufacturing Director","Research & Development",2,3,4,"No",3,4,1,4,"Male",1,2,13,"Medical",408,3
"No",41,"Manager","Sales",2,3,22,"No",4,4,3,2,"Male",10,4,22,"Life Sciences",410,3
"No",18,"Sales Representative","Sales",3,3,0,"No",3,4,2,1,"Female",0,1,0,"Medical",411,3
"No",28,"Healthcare Representative","Research & Development",1,3,8,"No",2,2,4,3,"Male",3,2,9,"Medical",412,3
"No",31,"Sales Executive","Sales",4,2,8,"No",3,2,4,2,"Male",7,2,10,"Technical Degree",416,3
"No",39,"Healthcare Representative","Research & Development",4,2,18,"No",3,3,4,1,"Male",10,3,19,"Medical",417,3
"No",36,"Laboratory Technician","Research & Development",2,3,9,"No",4,2,3,3,"Female",8,2,11,"Life Sciences",419,3
"No",32,"Sales Executive","Sales",3,2,13,"No",3,4,2,3,"Male",8,2,13,"Life Sciences",420,3
"No",38,"Research Director","Research & Development",2,3,10,"No",2,1,2,3,"Female",8,3,19,"Life Sciences",421,3
"No",58,"Healthcare Representative","Research & Development",3,3,5,"Yes",4,4,1,4,"Male",3,2,12,"Life Sciences",422,3
"No",31,"Research Scientist","Research & Development",4,3,5,"Yes",4,3,3,3,"Male",2,1,6,"Technical Degree",423,3
"No",31,"Human Resources","Human Resources",1,3,2,"No",3,1,2,4,"Male",2,2,9,"Human Resources",424,3
"No",45,"Laboratory Technician","Research & Development",1,3,24,"No",3,1,3,1,"Male",9,3,24,"Life Sciences",425,3
"No",31,"Research Scientist","Research & Development",4,1,2,"Yes",4,3,3,2,"Male",2,1,3,"Life Sciences",426,3
"No",33,"Manager","Research & Development",2,3,10,"No",4,4,3,2,"Female",6,3,12,"Life Sciences",428,3
"No",39,"Manager","Research & Development",1,3,21,"Yes",1,3,3,4,"Male",9,4,21,"Medical",429,3
"No",43,"Laboratory Technician","Research & Development",4,3,8,"No",4,3,3,1,"Female",7,1,9,"Life Sciences",430,3
"No",49,"Healthcare Representative","Research & Development",3,3,7,"Yes",2,3,2,4,"Female",1,4,25,"Technical Degree",431,3
"Yes",52,"Research Scientist","Research & Development",2,2,8,"No",4,3,2,1,"Male",2,2,11,"Medical",433,3
"No",27,"Research Scientist","Research & Development",2,2,4,"Yes",3,3,3,2,"Female",3,1,4,"Life Sciences",434,3
"No",32,"Sales Executive","Sales",2,3,13,"Yes",2,3,2,4,"Female",12,2,13,"Technical Degree",436,3
"No",27,"Sales Executive","Sales",3,3,5,"Yes",3,4,3,1,"Male",4,2,5,"Life Sciences",437,3
"No",31,"Sales Executive","Sales",4,3,7,"No",3,4,3,4,"Male",7,2,13,"Marketing",438,3
"No",32,"Research Scientist","Research & Development",4,2,7,"No",4,1,4,3,"Female",7,2,10,"Medical",439,3
"Yes",28,"Research Scientist","Research & Development",4,2,3,"Yes",4,1,1,4,"Male",2,1,5,"Medical",440,3
"No",30,"Research Scientist","Research & Development",4,3,10,"No",2,4,3,4,"Female",8,2,11,"Medical",441,3
"No",31,"Manufacturing Director","Research & Development",3,3,10,"No",2,3,2,1,"Female",9,3,10,"Life Sciences",442,4
"No",39,"Manager","Research & Development",4,3,21,"No",2,3,2,1,"Male",9,5,21,"Medical",444,3
"Yes",39,"Sales Executive","Sales",3,2,1,"Yes",2,4,3,1,"Female",0,2,12,"Medical",445,3
"No",33,"Sales Executive","Sales",4,2,7,"No",3,2,2,3,"Male",7,2,9,"Marketing",446,3
"No",47,"Research Director","Research & Development",3,3,3,"No",5,4,3,2,"Male",2,5,21,"Life Sciences",447,3
"No",43,"Laboratory Technician","Research & Development",3,4,9,"No",4,3,2,2,"Female",7,2,9,"Life Sciences",448,3
"No",27,"Sales Executive","Sales",2,3,5,"Yes",1,3,3,4,"Male",4,2,6,"Marketing",449,3
"No",54,"Research Scientist","Research & Development",3,2,4,"No",4,4,3,4,"Female",3,2,20,"Life Sciences",450,3
"No",43,"Healthcare Representative","Research & Development",1,2,1,"No",3,3,3,1,"Female",0,3,10,"Life Sciences",451,3
"No",45,"Research Scientist","Research & Development",4,3,10,"No",4,4,3,1,"Male",9,2,12,"Other",452,3
"No",40,"Sales Executive","Sales",4,2,4,"Yes",2,2,1,3,"Male",3,2,6,"Medical",453,4
"Yes",29,"Laboratory Technician","Research & Development",1,2,7,"Yes",4,2,1,4,"Male",7,1,7,"Other",454,3
"No",29,"Laboratory Technician","Research & Development",4,3,3,"No",5,2,2,3,"Male",2,1,4,"Other",455,3
"No",30,"Sales Executive","Sales",3,3,10,"No",3,4,2,3,"Female",9,2,10,"Marketing",456,3
"No",27,"Sales Executive","Sales",2,3,8,"No",4,2,3,1,"Female",7,2,8,"Marketing",458,3
"No",37,"Manufacturing Director","Research & Development",4,2,6,"No",2,4,3,3,"Male",2,2,8,"Medical",460,3
"No",38,"Research Director","Research & Development",4,3,11,"Yes",2,3,2,2,"Male",10,3,12,"Life Sciences",461,3
"No",31,"Manufacturing Director","Research & Development",4,2,11,"Yes",4,3,3,3,"Female",9,3,11,"Medical",462,3
"No",29,"Sales Executive","Sales",2,3,7,"Yes",1,4,2,1,"Female",7,2,7,"Marketing",463,3
"No",35,"Manufacturing Director","Research & Development",2,3,16,"No",4,3,3,4,"Male",6,3,17,"Technical Degree",464,3
"No",23,"Research Scientist","Research & Development",4,2,4,"No",1,3,3,3,"Male",2,1,4,"Life Sciences",465,3
"No",41,"Manufacturing Director","Research & Development",2,3,5,"Yes",3,4,2,4,"Male",4,2,8,"Medical",466,3
"No",47,"Sales Representative","Sales",3,3,0,"No",1,2,3,1,"Male",0,2,5,"Medical",467,3
"No",42,"Research Director","Research & Development",4,3,1,"No",5,1,3,2,"Female",0,4,16,"Life Sciences",468,3
"No",29,"Sales Executive","Sales",3,2,4,"No",3,4,3,1,"Male",3,2,4,"Life Sciences",469,3
"No",42,"Human Resources","Human Resources",3,3,3,"Yes",1,3,3,3,"Male",2,1,4,"Technical Degree",470,3
"No",32,"Laboratory Technician","Research & Development",2,3,8,"No",3,3,3,3,"Female",0,1,8,"Medical",471,3
"No",48,"Manager","Sales",3,1,0,"No",1,1,3,2,"Female",0,3,15,"Medical",473,4
"No",37,"Research Scientist","Research & Development",1,3,7,"Yes",3,3,4,1,"Male",7,2,13,"Medical",474,3
"No",30,"Sales Executive","Sales",3,4,2,"Yes",2,4,3,2,"Female",2,2,4,"Technical Degree",475,3
"No",26,"Sales Executive","Sales",3,3,8,"No",3,3,3,2,"Male",7,2,8,"Life Sciences",476,3
"No",42,"Healthcare Representative","Research & Development",4,3,1,"No",4,1,2,2,"Male",0,2,14,"Other",477,4
"Yes",21,"Sales Representative","Sales",2,3,3,"Yes",1,1,2,3,"Female",2,1,3,"Technical Degree",478,3
"No",36,"Sales Executive","Sales",4,3,1,"No",5,4,3,2,"Female",0,2,7,"Medical",479,3
"No",36,"Sales Executive","Sales",4,3,13,"No",4,1,2,1,"Male",9,3,16,"Medical",481,3
"No",57,"Healthcare Representative","Research & Development",3,3,3,"No",4,4,3,3,"Male",2,2,15,"Medical",482,3
"No",40,"Laboratory Technician","Research & Development",3,3,7,"Yes",4,4,4,3,"Female",7,1,10,"Life Sciences",483,3
"No",21,"Sales Representative","Sales",4,2,3,"No",2,1,3,3,"Male",2,1,3,"Medical",484,4
"Yes",33,"Sales Representative","Sales",3,3,1,"Yes",3,4,3,2,"Female",0,1,1,"Marketing",485,3
"No",37,"Laboratory Technician","Research & Development",1,3,5,"No",3,3,3,2,"Female",4,1,17,"Medical",486,4
"No",46,"Manufacturing Director","Research & Development",3,4,1,"No",4,3,3,3,"Female",0,2,7,"Medical",487,3
"Yes",41,"Sales Executive","Sales",2,3,8,"No",3,1,3,3,"Male",7,2,8,"Marketing",488,3
"No",50,"Healthcare Representative","Research & Development",4,3,4,"No",3,4,2,4,"Male",3,3,20,"Technical Degree",491,3
"Yes",40,"Sales Executive","Sales",3,3,6,"Yes",2,3,2,1,"Male",4,2,8,"Marketing",492,3
"No",31,"Research Scientist","Research & Development",2,3,2,"Yes",4,3,2,4,"Male",2,1,3,"Life Sciences",493,3
"Yes",21,"Sales Representative","Sales",2,3,1,"No",3,3,4,4,"Female",0,1,1,"Life Sciences",494,3
"No",29,"Research Scientist","Research & Development",4,3,3,"No",3,4,3,4,"Male",2,1,6,"Life Sciences",495,3
"No",35,"Healthcare Representative","Research & Development",2,3,1,"No",4,3,2,3,"Male",1,2,10,"Life Sciences",496,3
"No",27,"Laboratory Technician","Research & Development",2,3,5,"No",2,4,3,2,"Male",2,1,5,"Medical",497,3
"No",28,"Sales Executive","Sales",4,3,7,"No",4,2,3,4,"Male",5,2,7,"Life Sciences",498,3
"No",49,"Healthcare Representative","Research & Development",3,3,5,"No",3,2,2,3,"Male",2,3,26,"Other",499,4
"No",51,"Sales Executive","Sales",4,2,7,"No",2,3,3,3,"Female",7,2,18,"Life Sciences",500,3
"No",36,"Research Scientist","Research & Development",3,3,2,"No",3,4,3,2,"Female",2,1,6,"Life Sciences",501,3
"Yes",34,"Sales Executive","Sales",4,2,5,"Yes",3,1,4,2,"Male",2,2,9,"Marketing",502,3
"No",55,"Manager","Research & Development",4,3,5,"Yes",3,3,3,3,"Female",4,4,30,"Life Sciences",505,3
"No",24,"Sales Executive","Sales",3,4,5,"Yes",4,4,3,4,"Female",2,2,5,"Marketing",507,3
"No",30,"Sales Representative","Sales",2,3,1,"No",1,3,3,1,"Male",0,1,1,"Technical Degree",508,3
"Yes",26,"Research Scientist","Research & Development",1,3,6,"No",1,3,3,3,"Male",4,1,7,"Technical Degree",510,4
"No",22,"Research Scientist","Research & Development",2,3,2,"No",3,1,3,4,"Female",1,1,2,"Medical",511,3
"No",36,"Sales Executive","Sales",3,3,10,"No",2,2,2,2,"Male",9,3,10,"Medical",513,3
"Yes",30,"Research Scientist","Research & Development",4,3,1,"Yes",3,3,3,3,"Male",0,1,3,"Technical Degree",514,4
"No",37,"Laboratory Technician","Research & Development",1,2,18,"No",3,4,3,3,"Female",7,1,18,"Life Sciences",515,3
"No",40,"Sales Executive","Sales",2,3,5,"No",2,4,3,3,"Female",4,2,8,"Marketing",516,3
"No",42,"Laboratory Technician","Research & Development",1,3,5,"No",4,2,3,2,"Female",2,1,8,"Life Sciences",517,3
"No",37,"Manufacturing Director","Research & Development",2,2,1,"Yes",4,3,3,4,"Male",0,2,18,"Life Sciences",518,3
"No",43,"Research Director","Research & Development",2,3,25,"No",3,1,2,3,"Male",10,4,25,"Life Sciences",520,3
"No",40,"Laboratory Technician","Research & Development",3,3,1,"No",3,2,2,2,"Female",0,2,20,"Medical",521,4
"No",54,"Research Director","Research & Development",1,2,4,"No",2,1,3,3,"Male",2,5,24,"Medical",522,3
"No",34,"Sales Executive","Sales",3,3,3,"No",4,3,3,1,"Female",2,2,6,"Marketing",523,3
"No",31,"Manufacturing Director","Research & Development",1,1,13,"No",2,2,3,2,"Female",10,2,13,"Medical",524,3
"No",43,"Laboratory Technician","Research & Development",4,3,3,"No",3,4,3,1,"Male",2,1,8,"Medical",525,4
"No",43,"Healthcare Representative","Research & Development",3,3,5,"Yes",4,3,3,4,"Female",2,2,8,"Other",526,3
"No",25,"Sales Executive","Sales",4,3,5,"Yes",2,2,2,2,"Female",4,2,5,"Life Sciences",527,3
"No",37,"Research Scientist","Research & Development",3,3,13,"Yes",5,2,3,1,"Female",11,2,15,"Medical",529,3
"No",31,"Laboratory Technician","Research & Development",1,3,4,"No",2,4,2,3,"Male",2,1,4,"Life Sciences",530,3
"No",39,"Manager","Research & Development",3,3,21,"Yes",1,2,3,3,"Male",8,5,21,"Life Sciences",531,3
"No",56,"Sales Executive","Sales",1,2,7,"No",3,3,4,4,"Female",7,4,36,"Life Sciences",532,3
"No",30,"Sales Executive","Sales",3,3,5,"No",3,2,3,2,"Female",4,2,6,"Technical Degree",533,3
"No",41,"Sales Executive","Sales",1,3,10,"No",3,2,4,3,"Male",7,3,10,"Marketing",534,3
"No",28,"Laboratory Technician","Research & Development",1,3,10,"No",2,3,3,4,"Male",0,2,10,"Medical",536,3
"Yes",25,"Laboratory Technician","Research & Development",1,3,2,"No",3,1,3,3,"Male",2,1,6,"Medical",538,3
"No",52,"Manufacturing Director","Research & Development",3,3,5,"Yes",3,4,2,3,"Male",4,3,28,"Medical",543,3
"No",45,"Research Scientist","Research & Development",4,2,2,"No",2,1,3,4,"Male",2,1,8,"Life Sciences",544,4
"No",52,"Manager","Research & Development",4,1,5,"No",2,4,3,4,"Female",2,4,31,"Life Sciences",546,3
"No",42,"Research Scientist","Research & Development",3,3,5,"No",2,1,3,2,"Female",4,2,19,"Life Sciences",547,3
"No",30,"Manufacturing Director","Research & Development",4,3,5,"No",3,3,1,3,"Female",4,2,11,"Life Sciences",548,4
"No",60,"Manager","Research & Development",1,1,29,"No",3,1,3,4,"Female",8,5,33,"Life Sciences",549,3
"No",46,"Manufacturing Director","Research & Development",3,2,10,"No",3,3,3,3,"Female",7,2,19,"Medical",550,3
"No",42,"Healthcare Representative","Research & Development",4,4,6,"No",4,4,2,4,"Female",5,2,7,"Technical Degree",551,3
"Yes",24,"Sales Representative","Sales",2,3,5,"Yes",1,1,3,2,"Female",3,1,6,"Technical Degree",554,3
"Yes",34,"Sales Representative","Sales",3,2,2,"No",2,4,1,4,"Female",2,1,3,"Marketing",555,3
"No",38,"Laboratory Technician","Research & Development",4,3,1,"Yes",2,4,3,3,"Male",0,1,1,"Life Sciences",556,4
"No",40,"Manager","Sales",3,3,20,"No",4,3,3,4,"Female",15,5,21,"Life Sciences",558,3
"No",26,"Research Scientist","Research & Development",4,1,3,"No",3,1,3,2,"Female",2,1,3,"Life Sciences",560,4
"No",30,"Laboratory Technician","Research & Development",4,1,5,"No",3,3,3,3,"Male",3,1,9,"Life Sciences",562,3
"No",29,"Research Director","Research & Development",3,3,10,"No",4,2,2,3,"Male",2,3,10,"Medical",564,3
"Yes",29,"Research Scientist","Research & Development",2,4,2,"No",5,3,2,2,"Female",2,1,6,"Technical Degree",565,3
"Yes",19,"Human Resources","Human Resources",4,4,1,"No",2,1,2,3,"Male",0,1,1,"Technical Degree",566,3
"No",30,"Sales Executive","Sales",1,3,9,"No",4,3,3,3,"Female",8,3,10,"Other",567,3
"No",57,"Manager","Sales",4,2,1,"No",3,1,2,3,"Male",0,4,32,"Marketing",568,3
"No",50,"Manager","Research & Development",3,3,27,"No",4,2,2,2,"Male",10,4,28,"Life Sciences",569,3
"No",30,"Laboratory Technician","Research & Development",4,2,11,"No",3,3,3,3,"Female",7,1,12,"Medical",571,3
"No",60,"Sales Executive","Sales",1,4,18,"No",3,3,2,4,"Female",13,3,22,"Marketing",573,3
"No",47,"Manufacturing Director","Research & Development",4,3,5,"No",2,1,3,3,"Female",0,2,20,"Medical",574,3
"No",46,"Research Director","Research & Development",3,1,3,"No",3,1,3,3,"Male",2,4,26,"Life Sciences",575,3
"No",35,"Laboratory Technician","Research & Development",3,3,5,"No",3,4,1,3,"Male",4,1,6,"Life Sciences",577,3
"No",54,"Laboratory Technician","Research & Development",3,3,1,"No",4,3,3,3,"Female",0,2,19,"Life Sciences",578,3
"No",34,"Research Scientist","Research & Development",3,3,7,"No",4,4,2,3,"Male",3,1,14,"Life Sciences",579,3
"No",46,"Sales Executive","Sales",4,3,3,"Yes",3,3,2,3,"Female",2,3,15,"Marketing",580,3
"No",31,"Manufacturing Director","Research & Development",2,4,13,"No",1,3,3,4,"Male",8,3,13,"Life Sciences",581,4
"Yes",33,"Manager","Research & Development",3,4,7,"Yes",1,2,3,4,"Male",6,3,15,"Medical",582,3
"Yes",33,"Laboratory Technician","Research & Development",4,3,4,"No",1,1,1,1,"Male",3,1,8,"Medical",584,3
"No",30,"Sales Representative","Sales",2,3,3,"No",1,4,3,1,"Male",2,1,4,"Marketing",585,3
"No",35,"Healthcare Representative","Research & Development",3,3,8,"Yes",3,4,3,3,"Male",7,3,10,"Life Sciences",586,3
"Yes",31,"Healthcare Representative","Research & Development",3,3,1,"No",3,1,3,1,"Male",0,3,12,"Life Sciences",587,3
"Yes",34,"Human Resources","Human Resources",1,3,3,"Yes",3,2,3,3,"Female",2,3,11,"Human Resources",590,3
"No",42,"Laboratory Technician","Research & Development",3,3,2,"No",2,2,3,4,"Male",2,1,8,"Other",591,3
"No",36,"Sales Executive","Sales",4,2,10,"No",4,2,3,4,"Male",3,3,10,"Medical",592,3
"Yes",22,"Laboratory Technician","Research & Development",3,3,2,"No",1,3,2,3,"Male",2,1,4,"Technical Degree",593,3
"No",48,"Sales Executive","Sales",4,3,9,"No",5,2,3,1,"Female",7,2,14,"Marketing",595,3
"No",55,"Manager","Sales",2,3,10,"No",5,1,3,4,"Female",9,4,37,"Life Sciences",597,4
"No",41,"Sales Executive","Sales",4,3,14,"No",2,4,3,4,"Male",3,2,16,"Life Sciences",599,3
"No",35,"Sales Executive","Sales",3,3,11,"No",3,2,3,3,"Male",9,2,15,"Marketing",600,3
"No",40,"Manufacturing Director","Research & Development",3,3,20,"No",3,2,3,3,"Female",6,4,22,"Life Sciences",601,3
"No",39,"Laboratory Technician","Research & Development",3,3,8,"No",1,3,3,1,"Female",3,1,8,"Life Sciences",602,3
"No",31,"Sales Executive","Sales",4,4,6,"Yes",1,2,3,3,"Male",5,2,10,"Life Sciences",604,3
"No",42,"Manufacturing Director","Research & Development",1,2,10,"Yes",3,4,3,4,"Male",9,3,10,"Medical",605,4
"No",45,"Sales Executive","Sales",2,4,8,"No",3,4,3,2,"Male",7,2,9,"Other",606,3
"Yes",26,"Human Resources","Human Resources",3,2,7,"Yes",4,2,3,2,"Female",7,1,8,"Life Sciences",608,3
"No",29,"Manufacturing Director","Research & Development",4,4,3,"No",3,4,3,2,"Male",2,2,8,"Technical Degree",611,3
"No",33,"Research Director","Research & Development",3,3,6,"No",5,1,4,3,"Female",1,4,10,"Medical",612,3
"No",31,"Manager","Sales",4,2,5,"No",3,3,2,3,"Male",4,3,10,"Life Sciences",613,4
"Yes",18,"Sales Representative","Sales",2,3,0,"Yes",3,2,3,4,"Male",0,1,0,"Marketing",614,3
"No",40,"Sales Executive","Sales",1,3,1,"No",3,3,1,3,"Male",0,3,20,"Other",615,3
"No",41,"Healthcare Representative","Research & Development",3,3,8,"Yes",4,1,2,1,"Female",7,2,10,"Other",616,3
"No",26,"Sales Executive","Sales",3,3,0,"No",2,1,3,1,"Male",0,2,8,"Medical",618,3
"No",35,"Sales Executive","Sales",3,3,5,"No",3,1,3,4,"Female",4,2,5,"Medical",620,3
"No",34,"Sales Executive","Sales",4,3,10,"No",4,4,4,4,"Male",7,2,10,"Life Sciences",621,3
"Yes",26,"Laboratory Technician","Research & Development",4,1,1,"Yes",3,3,1,2,"Male",0,1,1,"Technical Degree",622,3
"No",37,"Manufacturing Director","Research & Development",4,4,6,"No",3,2,3,4,"Female",5,3,12,"Technical Degree",623,3
"No",46,"Healthcare Representative","Research & Development",3,2,2,"No",1,1,3,4,"Female",2,3,28,"Medical",624,3
"No",41,"Manager","Sales",1,3,18,"No",5,2,3,2,"Female",16,4,22,"Life Sciences",625,3
"No",37,"Sales Executive","Sales",2,3,9,"No",4,1,3,4,"Male",5,3,9,"Medical",626,3
"No",52,"Research Scientist","Research & Development",1,3,10,"Yes",2,4,3,2,"Male",9,2,18,"Technical Degree",630,3
"Yes",32,"Sales Executive","Sales",3,3,4,"No",4,4,4,4,"Male",2,2,6,"Other",631,3
"No",24,"Sales Representative","Sales",4,3,2,"No",3,4,3,3,"Male",2,1,3,"Medical",632,3
"No",38,"Healthcare Representative","Research & Development",3,3,1,"No",3,3,3,3,"Female",0,2,18,"Medical",634,3
"No",37,"Manufacturing Director","Research & Development",2,2,6,"No",4,2,3,2,"Female",5,2,8,"Life Sciences",635,3
"No",49,"Research Director","Research & Development",3,3,31,"Yes",4,4,2,3,"Male",9,5,31,"Life Sciences",638,3
"No",24,"Research Scientist","Research & Development",4,3,6,"Yes",3,2,4,2,"Male",5,1,6,"Medical",639,3
"No",26,"Sales Executive","Sales",2,4,5,"No",2,1,3,4,"Male",3,2,6,"Marketing",641,4
"No",24,"Laboratory Technician","Research & Development",2,3,1,"No",2,4,2,4,"Male",0,1,1,"Other",643,4
"No",50,"Manager","Human Resources",2,3,32,"No",3,1,3,3,"Male",5,5,32,"Medical",644,3
"No",25,"Sales Representative","Sales",3,3,7,"No",1,2,3,3,"Male",4,1,7,"Medical",645,3
"Yes",24,"Laboratory Technician","Research & Development",3,3,6,"Yes",3,1,3,4,"Female",3,1,6,"Life Sciences",647,3
"Yes",30,"Sales Representative","Sales",1,4,1,"No",4,2,2,3,"Male",0,1,1,"Life Sciences",648,3
